lantaarnpaal_nummer,scheefstand,scheefstand_tov_kader,lat,lon,verschil_scheefstand_WP_kader,scheefstand_abs,scheefstand_tov_kader_abs,verschil_abs
HOUTEN01,2.700000000000003,2.600002050280948,52.015177,5.179014,0.09999794971905462,2.700000000000003,2.600002050280948,0.09999794971905462
HOUTEN02,-3.299999999999997,-2.3000000203330844,52.019045,5.172383,-0.9999999796669128,3.299999999999997,2.3000000203330844,0.9999999796669128
HOUTEN03,-3.200000000000003,-1.6000000201958908,52.020808,5.16848,-1.599999979804112,3.200000000000003,1.6000000201958908,1.599999979804112
HOUTEN04,2.299999999999997,2.550005125796852,52.020858,5.167715,-0.25000512579685497,2.299999999999997,2.550005125796852,0.25000512579685497
HOUTEN05,0.7999999999999972,0.3000042235950579,52.020989,5.167592,0.49999577640493925,0.7999999999999972,0.3000042235950579,0.49999577640493925
HOUTEN06,-0.29999999999999716,0.10000262064545692,52.020498,5.166822,-0.4000026206454541,0.29999999999999716,0.10000262064545692,0.4000026206454541
HOUTEN07,0.5,1.250001612109153,52.019759,5.166556,-0.7500016121091531,0.5,1.250001612109153,0.7500016121091531
HOUTEN08,-3.0999999999999943,-1.7999999558776039,52.018,5.165741,-1.3000000441223905,3.0999999999999943,1.7999999558776039,1.3000000441223905
HOUTEN09,2.0,-0.2499999952904376,52.017422,5.165186,2.2499999952904375,2.0,0.2499999952904376,2.2499999952904375
HOUTEN10,1.9000000000000057,0.0,52.017659,5.1659,1.9000000000000057,1.9000000000000057,0.0,1.9000000000000057
HOUTEN11,-1.9000000000000057,-0.6499999987357735,52.017135,5.16733,-1.2500000012642323,1.9000000000000057,0.6499999987357735,1.2500000012642323
HOUTEN12,3.299999999999997,0.8499983726461268,52.016915,5.167818,2.4500016273538705,3.299999999999997,0.8499983726461268,2.4500016273538705
HOUTEN13,-1.0,-0.20000000186693206,52.016231,5.169251,-0.7999999981330679,1.0,0.20000000186693206,0.7999999981330679
HOUTEN14,-0.5999999999999943,-0.09999999929748161,52.019279,5.172154,-0.5000000007025127,0.5999999999999943,0.09999999929748161,0.5000000007025127
HOUTEN15,0.5999999999999943,1.9000033390452313,52.015612,5.170018,-1.300003339045237,0.5999999999999943,1.9000033390452313,1.300003339045237
HOUTEN16,4.5,2.9499947467950123,52.01515,5.170859,1.5500052532049877,4.5,2.9499947467950123,1.5500052532049877
HOUTEN17,-2.9000000000000057,-3.5499998840601896,52.015154,5.171879,0.6499998840601839,2.9000000000000057,3.5499998840601896,0.6499998840601839
